User ID,Gender,Age,EstimatedSalary,Purchased
DANK,Female,41,72000,0
DANK,Female,51,146000,1
NIHILIST,Female,35,50000,0
FEDORA,Female,57,122000,1
NORMIE,Male,41,52000,0
DANK,Female,35,97000,1
NIHILIST,Female,44,39000,0
DANK,Male,37,52000,0
NORMIE,Female,48,134000,1
NIHILIST,Female,37,146000,1
NIHILIST,Female,50,44000,0
4CHAN,Female,52,90000,1
NORMIE,Female,41,72000,0
4CHAN,Male,40,57000,0
DANK,Female,58,95000,1
4CHAN,Female,45,131000,1
NORMIE,Female,35,77000,0
NORMIE,Male,36,144000,1
4CHAN,Female,55,125000,1
DANK,Female,35,72000,0
DANK,Male,48,90000,1
FEDORA,Female,42,108000,1
NORMIE,Male,40,75000,0
NORMIE,Male,37,74000,0
NIHILIST,Female,47,144000,1
4CHAN,Male,40,61000,0
4CHAN,Female,43,133000,0
DANK,Female,59,76000,1
NIHILIST,Male,60,42000,1
NORMIE,Male,39,106000,1
NORMIE,Female,57,26000,1
NIHILIST,Male,57,74000,1
DANK,Male,38,71000,0
FEDORA,Male,49,88000,1
DANK,Female,52,38000,1
FEDORA,Female,50,36000,1
NORMIE,Female,59,88000,1
DANK,Male,35,61000,0
4CHAN,Male,37,70000,1
FEDORA,Female,52,21000,1
NORMIE,Male,48,141000,0
FEDORA,Female,37,93000,1
NORMIE,Female,37,62000,0
DANK,Female,48,138000,1
NORMIE,Male,41,79000,0
DANK,Female,37,78000,1
4CHAN,Male,39,134000,1
NIHILIST,Male,49,89000,1
NIHILIST,Male,55,39000,1
4CHAN,Male,37,77000,0
NORMIE,Female,35,57000,0
DANK,Female,36,63000,0
DANK,Male,42,73000,1
4CHAN,Female,43,112000,1
4CHAN,Male,45,79000,0
DANK,Male,46,117000,1
4CHAN,Female,58,38000,1
DANK,Male,48,74000,1
DANK,Female,37,137000,1
DANK,Male,37,79000,1
4CHAN,Female,40,60000,0
NIHILIST,Male,42,54000,0
4CHAN,Female,51,134000,0
DANK,Female,47,113000,1
FEDORA,Male,36,125000,1
4CHAN,Female,38,50000,0
FEDORA,Female,42,70000,0
4CHAN,Male,39,96000,1
NIHILIST,Female,38,50000,0
FEDORA,Female,49,141000,1
DANK,Female,39,79000,0
FEDORA,Female,39,75000,1
DANK,Female,54,104000,1
FEDORA,Male,35,55000,0
FEDORA,Male,45,32000,1
FEDORA,Male,36,60000,0
DANK,Female,52,138000,1
NORMIE,Female,53,82000,1
NIHILIST,Male,41,52000,0
NORMIE,Female,48,30000,1
DANK,Female,48,131000,1
DANK,Female,41,60000,0
NIHILIST,Male,41,72000,0
NORMIE,Female,42,75000,0
DANK,Male,36,118000,1
FEDORA,Female,47,107000,1
NORMIE,Male,38,51000,0
FEDORA,Female,48,119000,1
FEDORA,Male,42,65000,0
FEDORA,Male,40,65000,0
NIHILIST,Male,57,60000,1
DANK,Female,36,54000,0
DANK,Male,58,144000,1
NORMIE,Male,35,79000,0
NIHILIST,Female,38,55000,0
NIHILIST,Male,39,122000,1
NORMIE,Female,53,104000,1
NORMIE,Male,35,75000,0
DANK,Female,38,65000,0
FEDORA,Female,47,51000,1
NIHILIST,Male,47,105000,1
4CHAN,Female,41,63000,0
NIHILIST,Male,53,72000,1
DANK,Female,54,108000,1
NIHILIST,Male,39,77000,0
NORMIE,Male,38,61000,0
4CHAN,Female,38,113000,1
NORMIE,Male,37,75000,0
FEDORA,Female,42,90000,1
NORMIE,Female,37,57000,0
DANK,Male,36,99000,1
4CHAN,Male,60,34000,1
DANK,Male,54,70000,1
4CHAN,Female,41,72000,0
NIHILIST,Male,40,71000,1
FEDORA,Male,42,54000,0
NORMIE,Male,43,129000,1
DANK,Female,53,34000,1
4CHAN,Female,47,50000,1
DANK,Female,42,79000,0
FEDORA,Male,42,104000,1
NORMIE,Female,59,29000,1
NORMIE,Female,58,47000,1
NIHILIST,Male,46,88000,1
NIHILIST,Male,38,71000,0
4CHAN,Female,54,26000,1
NIHILIST,Female,60,46000,1
4CHAN,Male,60,83000,1
DANK,Female,39,73000,0
NORMIE,Male,59,130000,1
NORMIE,Female,37,80000,0
NIHILIST,Female,46,32000,1
DANK,Female,46,74000,0
NIHILIST,Female,42,53000,0
FEDORA,Male,41,87000,1
4CHAN,Female,58,23000,1
NORMIE,Male,42,64000,0
DANK,Male,48,33000,1
NORMIE,Female,44,139000,1
FEDORA,Male,49,28000,1
FEDORA,Female,57,33000,1
4CHAN,Male,56,60000,1
FEDORA,Female,49,39000,1
4CHAN,Male,39,71000,0
NIHILIST,Male,47,34000,1
FEDORA,Female,48,35000,1
4CHAN,Male,48,33000,1
NIHILIST,Male,47,23000,1
NIHILIST,Female,45,45000,1
FEDORA,Male,60,42000,1
NORMIE,Female,39,59000,0
FEDORA,Female,46,41000,1
DANK,Male,51,23000,1
FEDORA,Female,50,20000,1
NORMIE,Male,36,33000,0
4CHAN,Female,49,36000,1
